Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),158.38,0.00,328.95,,,,,,157.97,,169.44,173.53,196.56,14.56
Active Decode Throughput Per User (tokens/sec/user),158.38,0.00,328.95,,,,,,157.97,,169.44,173.53,196.56,14.56
Active Prefill Throughput (tokens/sec),22429.71,22429.71,22429.71,,,,,,22429.71,,22429.71,22429.71,22429.71,0.00
Active Prefill Throughput Per User (tokens/sec/user),22429.71,22429.71,22429.71,,,,,,22429.71,,22429.71,22429.71,22429.71,0.00
Active Total Throughput (tokens/sec),3849.08,158.38,22429.71,,,,,,158.38,,22429.71,22429.71,22429.71,8281.03
Credit-to-Start Latency (ms),3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,0.00
Decode Duration (ms),1607.23,1607.23,1607.23,1607.23,1607.23,1607.23,1607.23,1607.23,1607.23,1607.23,1607.23,1607.23,1607.23,0.00
E2E Output Token Throughput (tokens/sec/user),132.85,132.85,132.85,132.85,132.85,132.85,132.85,132.85,132.85,132.85,132.85,132.85,132.85,0.00
Effective Concurrency,0.99,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.08
Effective Decode Concurrency,0.83,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.38
Effective Decode Throughput (tokens/sec),131.31,0.00,328.95,,,,,,156.32,,168.44,172.37,195.64,61.08
Effective Decode Throughput Per User (tokens/sec/user),131.31,0.00,328.95,,,,,,156.32,,168.44,172.37,195.64,61.08
Effective Latency (CO-aware) (ms),1933.74,1933.74,1933.74,1933.74,1933.74,1933.74,1933.74,1933.74,1933.74,1933.74,1933.74,1933.74,1933.74,0.00
Effective Prefill Concurrency,0.16,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.37
Effective Prefill Throughput (tokens/sec),3693.57,0.00,22429.71,,,,,,0.00,,22429.71,22429.71,22429.71,8318.85
Effective Prefill Throughput Per User (tokens/sec/user),3693.57,0.00,22429.71,,,,,,0.00,,22429.71,22429.71,22429.71,8318.85
Effective Total Throughput (tokens/sec),3824.87,0.00,22429.71,,,,,,158.38,,22429.71,22429.71,22429.71,8260.56
