Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),162.15,0.00,5603.84,,,,,,165.45,,174.55,179.28,204.46,27.23
Active Decode Throughput Per User (tokens/sec/user),162.15,0.00,5603.84,,,,,,165.45,,174.55,179.28,204.46,27.23
Active Prefill Throughput (tokens/sec),9295.02,8577.18,9720.44,,,,,,9331.10,,9561.46,9667.63,9720.44,246.30
Active Prefill Throughput Per User (tokens/sec/user),9295.02,8577.18,9720.44,,,,,,9331.10,,9561.46,9667.63,9720.44,246.30
Active Total Throughput (tokens/sec),478.78,89.34,9720.44,,,,,,166.13,,166.41,166.46,9467.55,1671.45
Credit-to-Start Latency (ms),4.30,2.02,7.80,275.35,2.57,3.81,3.90,4.06,4.15,4.47,4.72,5.27,7.07,0.70
Decode Duration (ms),1509.49,846.47,1534.62,96607.20,975.95,1529.91,1531.48,1531.83,1532.45,1533.20,1533.86,1534.12,1534.48,109.34
E2E Output Token Throughput (tokens/sec/user),159.55,125.54,163.26,10211.44,142.95,156.80,157.75,159.29,160.87,161.24,161.36,161.46,162.14,4.59
Effective Concurrency,0.99,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.08
Effective Decode Concurrency,0.96,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.20
Effective Decode Throughput (tokens/sec),155.61,0.00,5603.84,,,,,,165.16,,174.30,178.94,202.47,41.58
Effective Decode Throughput Per User (tokens/sec/user),155.61,0.00,5603.84,,,,,,165.16,,174.30,178.94,202.47,41.58
Effective Latency (CO-aware) (ms),1593.12,1590.04,1599.60,101959.47,1590.40,1590.87,1591.38,1592.05,1592.50,1593.99,1595.41,1596.76,1598.20,1.80
Effective Prefill Concurrency,0.03,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.18
Effective Prefill Throughput (tokens/sec),320.38,0.00,9720.44,,,,,,0.00,,0.00,0.00,9459.98,1696.27
Effective Prefill Throughput Per User (tokens/sec/user),320.38,0.00,9720.44,,,,,,0.00,,0.00,0.00,9459.98,1696.27
Effective Total Throughput (tokens/sec),475.99,0.00,9720.44,,,,,,166.04,,166.41,166.46,9459.98,1666.98
