mode,scenario,concurrency,ttft_p50_ms,ttft_p95_ms,itl_avg_ms,e2e_p95_ms,out_tok_s,req_s,meets_slo
vllm-1g,chat,1,55.368498499999994,63.86136939999999,6.06918832822397,1591.79130115,156.37851542879545,0.6262969328812834,True
vllm-1g,chat,2,53.5034315,76.09028249999997,6.057757320823105,1609.9263314999998,317.79405817353967,1.2508499214702669,True
vllm-1g,chat,4,60.904493499999994,94.40709544999986,6.1775485578272304,1649.72687955,614.0984246614419,2.4464549753085763,True
vllm-1g,chat,8,83.7216905,90.42604884999999,6.3549302765475995,1702.6995017999998,1194.52244323546,4.717936087822109,True
vllm-1g,chat,16,165.319275,386.3269486,6.61937428318517,2046.9819185,2101.44818630027,8.378823407358645,True
vllm-1g,chat,32,201.7080585,676.82212425,7.746026659236973,2575.14209025,3489.556404656252,13.810197563491336,True
vllm-1g,chat,64,293.43021,1221.1348285499998,10.434685025928863,3634.2986791999997,5064.544692868797,20.09475192186068,True
dyn-1w,chat,1,54.782681,57.78880039999999,6.075864240056162,1590.1787339999998,156.2378648847151,0.6257336265720755,True
dyn-1w,chat,2,48.971965999999995,51.455304149999996,6.062681351060161,1587.6758785,318.85298559695576,1.2550950906085965,True
dyn-1w,chat,4,50.3038805,87.11602529999999,6.168710208769319,1626.1283442499998,618.3628507395505,2.462217535452699,True
dyn-1w,chat,8,55.397104999999996,87.66027179999999,6.3743133186479115,1664.72731145,1206.8329687820153,4.784273414398474,True
dyn-1w,chat,16,88.5291385,324.66138635,6.631131928602501,2002.3783235499998,2156.5129049675556,8.555734179581785,True
dyn-1w,chat,32,101.2458965,602.9173569999999,7.804072979590393,2523.02450775,3570.2839174135647,14.144552336158231,True
dyn-1w,chat,64,349.406116,1174.49205775,10.40640015555628,3592.9042606,5153.036665326899,20.509917541063857,True
dyn-2w-rr,chat,1,62.004414499999996,75.09361924999996,6.0762495338613,1616.8207495499998,157.7459022197285,0.6215056477507155,True
