Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),894.98,0.00,8820.98,,,,,,76.31,,2093.45,2123.12,2932.00,1016.88
Active Decode Throughput Per User (tokens/sec/user),29.73,0.00,300.53,,,,,,3.15,,65.60,66.60,98.21,32.19
Active Prefill Throughput (tokens/sec),41264.45,1290.09,114782.63,,,,,,31115.15,,94735.17,114782.63,114782.63,32476.41
Active Prefill Throughput Per User (tokens/sec/user),1970.93,1290.07,9960.73,,,,,,1728.62,,3055.97,3586.96,3586.96,662.66
Active Total Throughput (tokens/sec),25293.78,66.54,114782.63,,,,,,9134.02,,83942.96,94763.98,114782.63,31708.27
Credit-to-Start Latency (ms),3.79,3.16,4.34,121.39,3.20,3.42,3.57,3.66,3.76,3.93,4.08,4.19,4.30,0.24
Decode Duration (ms),6169.79,3831.89,8853.50,197433.42,3832.02,3931.61,4047.99,4937.81,6175.76,7377.25,8225.49,8398.36,8764.71,1498.92
E2E Output Token Throughput (tokens/sec/user),27.23,26.48,27.79,871.25,26.55,26.72,26.77,27.18,27.30,27.39,27.50,27.58,27.74,0.30
Effective Concurrency,31.71,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,2.44
Effective Decode Concurrency,20.99,0.00,32.00,,,,,,24.00,,32.00,32.00,32.00,11.42
Effective Decode Throughput (tokens/sec),859.82,0.00,8820.98,,,,,,76.31,,2092.37,2121.74,2846.75,1011.76
Effective Decode Throughput Per User (tokens/sec/user),28.56,0.00,300.53,,,,,,3.10,,65.51,66.59,98.15,32.08
Effective Latency (CO-aware) (ms),9322.72,9214.46,9395.87,298326.89,9219.98,9240.44,9247.85,9280.31,9334.18,9367.07,9387.28,9391.46,9395.80,52.78
Effective Prefill Concurrency,10.71,0.00,32.00,,,,,,6.00,,30.00,31.00,32.00,11.43
Effective Prefill Throughput (tokens/sec),24404.15,0.00,114782.63,,,,,,8111.23,,83884.97,94735.17,114782.63,32174.99
