Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),4412.20,0.00,11764.13,,,,,,4732.32,,5471.32,5730.81,6287.62,1382.62
Active Decode Throughput Per User (tokens/sec/user),141.61,0.00,367.63,,,,,,148.31,,172.10,180.72,200.10,39.99
Active Prefill Throughput (tokens/sec),59526.78,1873.26,67576.98,,,,,,63150.54,,67576.98,67576.98,67576.98,13901.92
Active Prefill Throughput Per User (tokens/sec/user),2048.06,1873.26,2217.86,,,,,,2037.11,,2111.78,2111.78,2111.78,74.38
Active Total Throughput (tokens/sec),12668.07,153.59,67576.98,,,,,,4821.15,,63291.63,67576.98,67576.98,19960.74
Credit-to-Start Latency (ms),3.60,3.10,4.13,115.05,3.11,3.16,3.21,3.50,3.58,3.76,3.89,3.96,4.08,0.25
Decode Duration (ms),1640.83,1028.15,1805.62,52506.70,1222.02,1653.58,1653.79,1654.52,1655.95,1656.63,1657.48,1659.13,1760.47,113.09
E2E Output Token Throughput (tokens/sec/user),132.95,126.82,135.57,4254.52,127.48,129.79,131.11,131.62,132.76,134.85,135.27,135.30,135.49,2.04
Effective Concurrency,31.48,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,3.28
Effective Decode Concurrency,27.37,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,10.71
Effective Decode Throughput (tokens/sec),4122.31,0.00,11764.13,,,,,,4689.99,,5443.81,5708.35,6271.02,1726.56
Effective Decode Throughput Per User (tokens/sec/user),132.31,0.00,367.63,,,,,,147.10,,170.98,179.60,199.82,52.20
Effective Latency (CO-aware) (ms),1917.02,1891.75,1938.36,61344.51,1893.41,1897.42,1897.76,1899.33,1913.99,1935.76,1936.55,1937.52,1938.23,18.47
Effective Prefill Concurrency,4.12,0.00,32.00,,,,,,0.00,,31.00,32.00,32.00,10.37
Effective Prefill Throughput (tokens/sec),8488.88,0.00,67576.98,,,,,,0.00,,63150.54,67576.98,67576.98,21466.60
