Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),298.60,0.00,660.91,,,,,,304.23,,323.66,332.74,371.04,35.90
Active Decode Throughput Per User (tokens/sec/user),149.46,0.00,457.85,,,,,,152.14,,161.87,166.43,187.64,17.96
Active Prefill Throughput (tokens/sec),160105.53,65353.34,181166.86,,,,,,170969.75,,177338.92,180401.45,181166.86,22149.91
Active Prefill Throughput Per User (tokens/sec/user),81519.22,65353.34,94105.47,,,,,,85484.87,,88669.46,90200.73,90583.43,7297.63
Active Total Throughput (tokens/sec),8449.13,53.38,181166.86,,,,,,304.56,,306.75,72893.82,175613.20,35511.72
Credit-to-Start Latency (ms),4.28,2.85,6.40,273.86,3.02,3.56,3.85,4.13,4.26,4.38,4.72,4.99,5.95,0.51
Decode Duration (ms),1650.70,1143.06,1668.59,105644.93,1239.71,1657.77,1660.52,1662.60,1664.93,1666.53,1667.77,1668.13,1668.55,78.62
E2E Output Token Throughput (tokens/sec/user),143.79,51.70,147.13,9202.31,108.05,142.47,143.02,144.21,145.67,146.37,146.66,146.73,146.90,11.69
Effective Concurrency,1.99,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.14
Effective Decode Concurrency,1.89,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.45
Effective Decode Throughput (tokens/sec),282.46,0.00,660.91,,,,,,303.22,,323.11,331.67,367.95,76.00
Effective Decode Throughput Per User (tokens/sec/user),141.39,0.00,457.85,,,,,,151.66,,161.63,166.05,186.31,38.04
Effective Latency (CO-aware) (ms),1758.09,1747.31,1780.60,112517.46,1747.87,1749.49,1751.03,1752.95,1755.66,1764.95,1768.87,1770.77,1779.33,7.65
Effective Prefill Concurrency,0.10,0.00,2.00,,,,,,0.00,,0.00,1.00,2.00,0.43
Effective Prefill Throughput (tokens/sec),8132.76,0.00,181166.86,,,,,,0.00,,0.00,72563.64,175613.20,35508.87
