Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),328.54,0.00,978.61,,,,,,329.75,,351.16,361.19,410.60,30.84
Active Decode Throughput Per User (tokens/sec/user),164.93,0.00,722.67,,,,,,164.95,,175.89,181.21,210.78,16.08
Active Prefill Throughput (tokens/sec),18908.47,9282.03,21351.43,,,,,,20853.12,,21255.50,21322.53,21351.43,4091.32
Active Prefill Throughput Per User (tokens/sec/user),10427.98,9282.03,10912.86,,,,,,10470.05,,10661.27,10675.71,10826.96,235.97
Active Total Throughput (tokens/sec),962.10,159.44,21351.43,,,,,,330.41,,332.19,333.06,21064.65,3454.43
Credit-to-Start Latency (ms),4.17,3.53,5.44,267.08,3.72,3.87,3.95,4.03,4.11,4.28,4.43,4.60,5.09,0.27
Decode Duration (ms),1533.97,1497.97,1540.46,98173.84,1514.13,1529.87,1531.28,1533.18,1534.59,1536.04,1538.12,1538.53,1540.39,5.42
E2E Output Token Throughput (tokens/sec/user),160.48,152.86,162.61,10270.65,154.47,157.94,158.33,159.76,161.17,161.61,161.83,162.00,162.33,1.72
Effective Concurrency,1.99,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.12
Effective Decode Concurrency,1.93,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.37
Effective Decode Throughput (tokens/sec),317.60,0.00,978.61,,,,,,329.16,,350.69,360.82,409.05,66.29
Effective Decode Throughput Per User (tokens/sec/user),159.44,0.00,722.67,,,,,,164.66,,175.64,180.97,209.47,33.55
Effective Latency (CO-aware) (ms),1588.54,1579.35,1594.92,101666.34,1579.70,1585.06,1586.05,1587.49,1588.40,1590.09,1591.40,1592.26,1593.58,2.55
Effective Prefill Concurrency,0.06,0.00,2.00,,,,,,0.00,,0.00,0.00,2.00,0.34
Effective Prefill Throughput (tokens/sec),642.61,0.00,21351.43,,,,,,0.00,,0.00,0.00,21064.65,3508.09
Effective Prefill Throughput Per User (tokens/sec/user),354.40,0.00,10912.86,,,,,,0.00,,0.00,0.00,10567.11,1889.96
