system,workload,concurrency,e2e_ms_avg,e2e_ms_max,e2e_ms_min,e2e_ms_p50,e2e_ms_p90,e2e_ms_p95,e2e_ms_p99,itl_ms_avg,itl_ms_max,itl_ms_min,itl_ms_p50,itl_ms_p90,itl_ms_p95,itl_ms_p99,out_tok_per_s_avg,out_tok_per_s_per_user_avg,out_tok_per_s_per_user_max,out_tok_per_s_per_user_min,out_tok_per_s_per_user_p50,out_tok_per_s_per_user_p90,out_tok_per_s_per_user_p95,out_tok_per_s_per_user_p99,req_per_s_avg,ttft_ms_avg,ttft_ms_max,ttft_ms_min,ttft_ms_p50,ttft_ms_p90,ttft_ms_p95,ttft_ms_p99
v15-8b-tp1-len8k,agent,1,6266.130579149999,6283.85622,6246.624499,6266.778477999999,6274.1365063,6275.82496655,6282.24996931,6.711086696423841,11.34865528702011,6.05112607925636,6.107564338090551,9.079805008505588,10.160531429090419,11.11103051543417,152.1175467033609,154.137749080657,165.25849683219502,88.11616660378593,163.7314391152297,164.7942951368644,164.95376999907648,165.1975514655713,0.1590106587606344,66.00914145,83.862562,60.757045999999995,63.537479499999996,72.03556320000001,79.94473160000001,83.07899592
v15-8b-tp1-len8k,agent,128,8926.49684265,8934.103084,8910.219981999999,8928.911157999999,8933.671994299999,8933.8029657,8934.04306034,8.166137627757633,8.562717956650246,7.959674796859666,8.07662048423839,8.342490701736283,8.41763533028778,8.533701431377754,2269.2463610961854,122.5076800037942,125.63327340892499,116.7853484212158,123.81428170974439,125.38007220671378,125.398009623306,125.5862206518012,2.230327152288747,626.1831237499999,823.1944659999999,219.061256,722.8525659999999,822.6948706,822.83234785,823.1220423699999
v15-8b-tp1-len8k,agent,16,7704.840417949999,7985.190809,6583.036486999999,7978.5523715,7984.8818116,7985.0888721,7985.17042162,8.127661078098644,26.57224885869565,6.305598588062622,7.232229753533133,7.654621723155004,8.6893948986505,22.99567806668659,1337.2861473689716,135.16971436512506,158.5892260717546,37.63324682520254,138.27007763573553,157.70615138362086,158.1602717352849,158.50343520446066,1.3666695425334405,442.60563989999997,651.666432,70.79663,418.5269995,651.3968798,651.4104754,651.6152406799999
v15-8b-tp1-len8k,agent,4,6618.1647992,6635.583599,6596.79109,6615.3292304999995,6635.0768867,6635.334984949999,6635.533876189999,6.509450958893145,9.05800484084507,6.297068958863859,6.365341352634171,6.44631332412731,6.7394276212517,8.594289396926394,602.1329419564498,154.54896487149784,158.80404145684054,110.39958772054536,157.1012887277041,158.41937967007405,158.5065725819204,158.74454768185652,0.6020727346829815,153.9296284,185.598843,89.75691499999999,168.133424,185.3439869,185.53807435,185.58668927
v15-8b-tp1-len8k,agent,64,8867.55530125,8906.787333,8273.579888,8901.030449,8906.6136125,8906.7351286,8906.77689212,8.880241391495943,17.064051731854835,7.965628276890309,8.0900291964395,9.074976029025876,13.738614481144026,16.39896428171267,2163.963786269073,116.88457231775529,125.53937558210896,58.60272904196719,123.60897621771633,124.58440549709,125.13124229723799,125.45774892513477,2.239780351155693,597.0379359,793.9111909999999,195.70871599999998,693.8812405,793.8583187999999,793.88988535,793.90692987
v15-8b-tp1-len8k,batch,1,833.4589558499999,866.29176,828.919217,831.288181,834.3256104,836.3146905,860.2963460999998,6.09395766017907,6.221987629032258,6.05564259055118,6.080445125984252,6.13522836797235,6.217564612903225,6.221103025806451,152.0332122228325,164.10582646318144,165.13524123110122,160.72034526939998,164.46166148054493,164.96323705853,165.00122857459837,165.10843869980064,1.191482854410913,62.00437055,97.225151,56.732110999999996,60.4144965,61.6535624,63.72026315000002,90.52417342999995
v15-8b-tp1-len8k,batch,128,1689.4576005,1700.0594859999999,1584.484821,1699.1105949999999,1699.9104467,1699.99184505,1700.04595781,8.979343458580002,11.965787338582677,7.450100047244094,8.30154899518584,10.240716934645668,10.327069870472442,11.638043844960627,1487.7348206300662,113.58570552283868,134.22638537182,83.57160057287528,120.46613105660552,134.18577226477674,134.1964546919981,134.2203992358556,11.705230689457641,556.5215744999999,753.8967799999999,156.609578,653.474376,753.0761512,753.5340908999999,753.8242421799999
v15-8b-tp1-len8k,batch,16,1420.659981,1542.8946329999999,954.840513,1533.210349,1542.0174709,1542.5094250999998,1542.81759142,7.587588057418704,10.675517935483871,6.229435094488188,6.882884276503937,8.744582525406452,8.901369016935485,10.32068815177419,1017.3541906892153,134.7770174970064,160.52819956095234,93.67227014589571,145.2965547549768,160.49799013535318,160.5112576194028,160.52481117264244,7.985511700857264,462.39296099999996,675.9049309999999,71.207452,441.05245149999996,674.8392372999999,675.5733012000001,675.83860504
v15-8b-tp1-len8k,batch,4,966.9301065499999,1006.1457399999999,947.011771,960.407801,1006.0706887999999,1006.1307670499999,1006.14274541,6.404810069939657,6.911260968,6.1910996718749995,6.239646342519684,6.844357264566929,6.850312461785826,6.899071266757166,523.9792400139344,156.38336877165722,161.52219363270981,144.69139635011967,160.2654934667126,160.58492665891973,160.63395650023992,161.34454620621582,4.104811907668894,155.80473494999998,207.46527999999998,90.511698,165.87161949999998,207.17310669999998,207.31426134999998,207.43507627
v15-8b-tp1-len8k,batch,64,1743.0088929,1750.600939,1729.178263,1745.04611,1749.6436022,1749.75597195,1750.43194559,8.926058221052156,11.978403968503937,7.415824212598425,8.161875606299212,10.190144567685289,10.344987260726786,11.651720626948503,1452.1278638288857,114.28619297859802,134.8467778269532,83.48357616168263,122.5208580240569,134.76229464687358,134.8285090751965,134.84312407660187,11.366950010402237,611.4636041,808.656935,207.92095899999998,708.654536,807.3378948999999,807.9395804999999,808.5134641
